0,1,2,3,4,5,6
2.48E-06,3.44E-06,4.96E-06,8.87E-06,1.50E-05,1.06E-05,8.02E-06
3.32E-06,7.41E-06,1.61E-05,1.56E-05,1.99E-05,8.63E-06,9.02E-06
3.19E-06,8.74E-06,6.13E-06,8.19E-06,1.30E-05,1.41E-05,5.20E-06
4.03E-06,1.16E-05,6.89E-06,9.64E-06,6.64E-06,1.72E-05,5.20E-06
4.14E-06,5.98E-06,5.92E-06,1.40E-05,2.15E-05,1.29E-05,6.06E-06
1.42E-05,8.21E-05,1.98E-05,1.29E-05,1.21E-05,4.58E-05,1.90E-05
4.54E-06,0.000101392,6.38E-06,4.00E-05,2.67E-05,3.04E-05,8.03E-06
6.49E-06,1.74E-05,5.58E-06,1.79E-05,2.47E-05,4.35E-05,5.12E-06
2.39E-06,8.15E-06,5.66E-06,1.32E-05,1.16E-05,4.18E-05,5.87E-06
4.73E-06,4.25E-06,7.54E-06,9.33E-06,9.71E-06,3.32E-05,3.80E-06
3.61E-06,5.26E-06,4.23E-06,1.47E-05,2.37E-05,2.36E-05,6.02E-06
5.30E-06,7.91E-06,9.09E-06,1.27E-05,1.18E-05,2.37E-05,8.72E-06
1.81E-05,1.79E-05,2.34E-05,2.01E-05,2.89E-05,4.56E-05,8.86E-06
1.58E-05,1.25E-05,2.47E-05,3.47E-05,2.28E-05,7.05E-05,2.37E-05
7.19E-05,6.12E-05,7.32E-05,0.000149215,0.000162503,0.000211356,6.63E-05
2.65E-05,3.17E-05,5.82E-05,3.64E-05,5.40E-05,0.00010051,3.39E-05
9.69E-06,4.13E-06,1.31E-05,1.86E-05,1.88E-05,2.55E-05,8.84E-06
6.23E-06,1.90E-05,1.28E-05,1.83E-05,3.54E-05,6.54E-05,1.64E-05
5.59E-06,5.33E-06,7.48E-06,9.16E-06,1.32E-05,1.16E-05,6.44E-06
4.40E-06,7.53E-06,5.78E-06,1.02E-05,1.65E-05,8.27E-06,8.71E-06
4.45E-06,1.45E-05,9.66E-06,1.16E-05,1.59E-05,2.93E-05,8.92E-06
7.54E-06,3.96E-05,9.28E-06,9.98E-06,1.48E-05,3.03E-05,2.94E-05
8.86E-06,1.05E-05,1.16E-05,1.99E-05,2.55E-05,2.90E-05,6.64E-06
8.89E-06,4.45E-06,2.07E-05,1.19E-05,1.67E-05,4.28E-05,7.27E-06
3.87E-06,6.59E-06,2.78E-06,9.77E-06,1.42E-05,3.43E-05,6.26E-06
5.92E-06,4.61E-06,7.34E-06,1.41E-05,1.36E-05,1.53E-05,6.52E-06
6.71E-06,3.77E-06,7.28E-06,1.01E-05,1.41E-05,7.88E-06,7.83E-06
2.78E-06,4.84E-06,4.23E-06,7.41E-06,9.69E-06,1.91E-05,3.38E-06
2.93E-06,4.64E-06,5.00E-06,9.45E-06,1.20E-05,1.98E-05,4.37E-06
3.46E-06,3.52E-06,4.05E-06,7.03E-06,1.03E-05,6.90E-06,5.36E-06
4.57E-06,5.17E-06,6.38E-06,6.87E-06,9.91E-06,2.76E-05,7.19E-06
4.67E-06,4.40E-06,1.14E-05,6.68E-06,7.12E-06,1.77E-05,6.45E-06
3.24E-06,6.58E-06,8.32E-06,1.56E-05,1.62E-05,2.56E-05,6.82E-06
4.12E-06,5.11E-06,1.31E-05,1.03E-05,1.48E-05,3.14E-05,9.16E-06
7.08E-06,5.56E-06,1.05E-05,1.14E-05,1.46E-05,1.78E-05,7.79E-06
6.06E-06,5.29E-06,7.14E-06,8.73E-06,1.12E-05,1.54E-05,6.65E-06
